Identifier,Female,Age,Gradespassed15,ReadUrdu16,Financialconditionoverlastyear22,Collectivehouseholdincome112,Ownahouse122,Ownaland123,ClientofnonIslamicinstitution32,RecitingQuran33,Attendingreligiousgatherings34,Consultingreligiouscholar310,ListTreatment,Listexperiment
ID0121,0,31,8,2,3,4,1,1,1,1,3,1,0,"2"
ID0122,1,28,0,0,2,4,1,1,0,4,1,0,0,"2"
ID0123,1,38,0,1,3,3,1,1,1,3,2,2,0,"2"
ID0124,1,31,8,2,3,4,1,1,1,3,3,2,0,"2"
ID0125,1,46,0,0,3,3,1,1,1,3,4,2,0,"2"
ID0126,1,25,0,1,4,3,1,1,0,1,2,1,0,"2"
ID0128,1,58,0,0,3,3,1,0,1,0,4,1,1,"3"
ID0129,1,49,0,0,2,4,1,1,0,3,3,1,1,"2"
ID0130,1,28,0,1,2,3,0,0,0,1,2,2,1,"2"
ID0131,1,49,5,2,3,4,0,1,0,4,2,1,1,"2"
ID0132,1,25,7,2,2,4,1,1,0,4,1,0,1,"2"
ID0134,1,54,5,2,3,3,1,1,1,2,3,2,0,"2"
ID0135,0,52,10,2,4,4,1,1,1,4,2,2,0,"2"
ID0136,1,36,1,0,4,3,1,1,1,0,3,2,0,"3"
ID0137,1,49,1,0,2,4,1,1,0,3,2,1,0,"2"
ID0138,1,31,0,1,3,4,1,1,1,4,4,2,0,"2"
ID0139,1,36,0,1,2,4,1,0,1,4,3,0,1,"3"
ID0140,0,25,8,2,3,4,1,1,0,2,3,2,1,"2"
ID0141,1,44,1,0,4,4,1,1,0,0,4,2,1,"2"
ID0142,1,43,4,1,3,3,1,1,1,3,4,1,1,"2"
ID0143,1,37,0,0,3,88,1,1,0,4,4,2,1,"3"
ID0144,1,43,6,2,4,3,1,1,0,3,1,2,1,"2"
ID0145,0,32,5,0,4,4,1,1,1,4,2,1,0,"3"
ID0146,1,42,0,0,4,3,1,0,0,0,2,2,0,"2"
ID0147,1,34,0,0,3,3,0,0,0,4,2,1,0,"2"
ID0148,1,38,0,1,4,4,1,1,1,3,2,1,0,"2"
ID0149,1,32,8,1,3,4,0,1,0,4,2,1,0,"2"
ID0152,0,39,0,0,4,3,1,0,0,0,2,0,1,"2"
ID0153,0,39,0,1,4,4,1,1,0,2,4,0,1,"3"
ID0154,1,47,0,0,4,3,1,0,0,4,2,1,1,"2"
ID0155,1,43,0,0,2,3,1,1,0,4,3,2,1,"2"
ID0156,1,39,0,1,4,3,0,1,0,3,2,1,1,"2"
ID0157,1,38,0,0,4,4,1,1,0,2,2,0,1,"2"
ID0158,1,48,1,0,2,3,1,1,0,1,1,0,1,"3"
ID0160,1,42,8,2,3,4,1,1,1,4,1,1,1,"3"
ID0162,0,42,0,1,2,4,1,1,0,1,3,0,0,"2"
ID0171,0,46,2,1,3,3,1,0,0,4,2,2,0,"2"
ID0173,1,42,0,1,2,2,1,1,1,1,1,2,1,"3"
ID0174,0,40,10,2,2,2,1,0,1,1,3,2,0,"3"
ID0175,0,26,0,2,5,3,1,0,0,2,2,1,1,"0"
ID0176,1,41,10,2,4,2,1,1,0,2,2,2,1,"2"
ID0179,0,45,8,2,3,4,1,0,0,2,2,0,1,"2"
ID0180,1,39,0,0,3,2,0,0,0,1,2,0,1,"2"
ID0182,0,25,4,1,4,2,1,0,0,2,3,2,1,"2"
ID0183,1,38,5,2,3,3,0,0,0,2,2,2,1,"2"
ID0184,0,27,0,0,4,2,1,0,0,0,2,0,1,"2"
ID0186,1,37,0,1,3,3,1,0,0,1,3,2,0,"2"
ID0188,0,19,10,2,3,2,1,1,0,2,2,0,0,"2"
ID0189,0,34,0,0,3,1,1,0,0,2,2,2,0,"2"
ID0190,0,32,5,2,3,1,1,1,0,1,2,0,0,"2"
ID0192,1,37,0,0,3,4,0,0,0,0,2,0,0,"2"
ID0194,0,53,0,0,4,2,1,1,0,0,2,0,0,"2"
ID0197,0,42,8,2,5,1,1,1,1,2,2,2,1,"3"
ID0198,0,31,10,2,2,1,1,0,1,1,3,2,1,"3"
ID0200,0,32,2,0,3,2,1,0,0,0,4,2,1,"2"
ID0201,1,42,10,2,2,1,1,1,0,1,2,2,1,"0"
ID0202,1,47,0,0,4,3,1,1,0,0,2,3,1,"2"
ID0207,0,56,0,0,2,1,1,0,0,1,1,3,1,"2"
ID0208,1,46,4,0,3,4,1,0,0,0,4,1,1,"3"
ID0209,1,35,0,0,4,1,1,1,0,1,1,3,1,"1"
ID0210,0,20,4,2,4,2,1,0,0,2,3,2,0,"3"
ID0212,0,56,8,2,2,1,1,1,1,1,1,2,1,"3"
ID0214,0,35,10,2,2,2,1,0,1,1,3,2,0,"3"
ID0215,0,20,8,2,2,1,1,0,0,3,3,1,1,"3"
ID0217,0,35,0,0,3,3,1,1,1,1,2,2,1,"2"
ID0218,1,37,0,0,1,1,1,0,0,1,1,2,1,"3"
ID0219,0,24,10,2,3,1,1,0,0,1,2,0,1,"2"
ID0220,0,46,10,2,3,1,1,0,1,2,2,2,0,"2"
ID0225,1,22,10,2,3,4,1,0,0,1,3,0,0,"2"
ID0227,1,52,0,0,3,4,1,1,0,1,3,2,1,"3"
ID0228,1,35,8,2,2,4,1,0,0,3,2,3,0,"2"
ID0229,1,49,0,0,4,3,1,0,0,0,4,0,0,"2"
ID0230,1,53,10,2,3,4,1,0,0,3,2,1,0,"2"
ID0231,1,39,6,2,3,4,1,0,0,3,2,3,1,"2"
ID0232,1,31,4,1,5,3,1,0,0,2,2,0,1,"2"
ID0235,1,32,8,2,3,4,1,1,0,0,4,1,1,"2"
